lat,lon,sat,data_pas
  -8.9380,  31.5230,AQUA_M,2015-08-26 11:35:00
  -8.8890,  31.6090,AQUA_M,2015-08-26 11:35:00
  -8.8880,  31.6180,AQUA_M,2015-08-26 11:35:00
  -8.8830,  31.5890,AQUA_M,2015-08-26 11:35:00
  -8.8810,  31.5990,AQUA_M,2015-08-26 11:35:00
  -8.6880,  31.4730,AQUA_M,2015-08-26 11:35:00
  -8.6860,  31.4830,AQUA_M,2015-08-26 11:35:00
 -13.0660,  31.4790,AQUA_M,2015-08-26 11:35:00
 -13.0580,  31.4690,AQUA_M,2015-08-26 11:35:00
 -12.9090,  31.2290,AQUA_M,2015-08-26 11:35:00
 -12.9070,  31.2380,AQUA_M,2015-08-26 11:35:00
 -12.5930,  31.1910,AQUA_M,2015-08-26 11:35:00
 -12.5670,  31.1720,AQUA_M,2015-08-26 11:35:00
 -12.3750,  31.6220,AQUA_M,2015-08-26 11:35:00
 -12.3740,  31.6310,AQUA_M,2015-08-26 11:35:00
 -12.3670,  31.6110,AQUA_M,2015-08-26 11:35:00
 -12.3590,  31.1470,AQUA_M,2015-08-26 11:35:00
 -12.3150,  31.3270,AQUA_M,2015-08-26 11:35:00
 -12.3080,  31.3170,AQUA_M,2015-08-26 11:35:00
 -12.3060,  31.3260,AQUA_M,2015-08-26 11:35:00
 -12.2470,  31.3580,AQUA_M,2015-08-26 11:35:00
 -12.2100,  31.4920,AQUA_M,2015-08-26 11:35:00
 -12.1930,  31.2780,AQUA_M,2015-08-26 11:35:00
 -12.1780,  31.1920,AQUA_M,2015-08-26 11:35:00
 -12.1250,  31.6300,AQUA_M,2015-08-26 11:35:00
 -12.1250,  31.3700,AQUA_M,2015-08-26 11:35:00
 -12.0940,  31.5880,AQUA_M,2015-08-26 11:35:00
 -12.0850,  31.5870,AQUA_M,2015-08-26 11:35:00
 -12.0780,  31.1900,AQUA_M,2015-08-26 11:35:00
 -12.0760,  31.1990,AQUA_M,2015-08-26 11:35:00
 -12.0430,  31.2410,AQUA_M,2015-08-26 11:35:00
 -12.0260,  31.4240,AQUA_M,2015-08-26 11:35:00
 -12.0200,  31.2030,AQUA_M,2015-08-26 11:35:00
 -12.0070,  31.4950,AQUA_M,2015-08-26 11:35:00
 -12.0060,  31.5050,AQUA_M,2015-08-26 11:35:00
 -11.9250,  31.2290,AQUA_M,2015-08-26 11:35:00
 -11.9130,  31.1810,AQUA_M,2015-08-26 11:35:00
 -11.9120,  31.1900,AQUA_M,2015-08-26 11:35:00
 -11.9040,  31.1800,AQUA_M,2015-08-26 11:35:00
 -11.7770,  31.4880,AQUA_M,2015-08-26 11:35:00
 -11.6760,  31.2360,AQUA_M,2015-08-26 11:35:00
 -11.5630,  31.6300,AQUA_M,2015-08-26 11:35:00
 -11.4550,  31.3670,AQUA_M,2015-08-26 11:35:00
 -11.4540,  31.3760,AQUA_M,2015-08-26 11:35:00
 -11.3180,  31.2970,AQUA_M,2015-08-26 11:35:00
 -11.3160,  31.3060,AQUA_M,2015-08-26 11:35:00
 -11.2970,  31.2470,AQUA_M,2015-08-26 11:35:00
 -11.2960,  31.2570,AQUA_M,2015-08-26 11:35:00
 -11.2880,  31.2460,AQUA_M,2015-08-26 11:35:00
 -11.2870,  31.2550,AQUA_M,2015-08-26 11:35:00
 -10.7090,  31.1720,AQUA_M,2015-08-26 11:35:00
 -10.6600,  31.2570,AQUA_M,2015-08-26 11:35:00
 -10.6590,  31.2660,AQUA_M,2015-08-26 11:35:00
 -10.6230,  31.2640,AQUA_M,2015-08-26 11:35:00
 -10.5940,  31.3340,AQUA_M,2015-08-26 11:35:00
 -10.5290,  31.2070,AQUA_M,2015-08-26 11:35:00
 -10.5050,  31.1850,AQUA_M,2015-08-26 11:35:00
 -10.4340,  31.4890,AQUA_M,2015-08-26 11:35:00
 -10.4320,  31.4980,AQUA_M,2015-08-26 11:35:00
 -10.4180,  31.4070,AQUA_M,2015-08-26 11:35:00
 -10.4170,  31.4160,AQUA_M,2015-08-26 11:35:00
 -10.3820,  31.1520,AQUA_M,2015-08-26 11:35:00
 -10.3750,  31.3910,AQUA_M,2015-08-26 11:35:00
 -10.3740,  31.5860,AQUA_M,2015-08-26 11:35:00
 -10.3670,  31.3810,AQUA_M,2015-08-26 11:35:00
 -10.3660,  31.3900,AQUA_M,2015-08-26 11:35:00
 -10.3210,  31.4410,AQUA_M,2015-08-26 11:35:00
 -10.3190,  31.4500,AQUA_M,2015-08-26 11:35:00
 -10.3100,  31.4490,AQUA_M,2015-08-26 11:35:00
 -10.3120,  31.4400,AQUA_M,2015-08-26 11:35:00
 -10.1870,  31.4800,AQUA_M,2015-08-26 11:35:00
 -10.1860,  31.4890,AQUA_M,2015-08-26 11:35:00
 -10.0930,  31.4230,AQUA_M,2015-08-26 11:35:00
 -10.0340,  31.3900,AQUA_M,2015-08-26 11:35:00
 -10.0260,  31.2590,AQUA_M,2015-08-26 11:35:00
 -12.8890,  30.8520,AQUA_M,2015-08-26 11:35:00
 -12.6740,  31.0720,AQUA_M,2015-08-26 11:35:00
 -12.6570,  30.9950,AQUA_M,2015-08-26 11:35:00
 -12.6120,  31.1190,AQUA_M,2015-08-26 11:35:00
 -12.5950,  31.1080,AQUA_M,2015-08-26 11:35:00
 -12.5220,  31.0340,AQUA_M,2015-08-26 11:35:00
 -12.4320,  30.6970,AQUA_M,2015-08-26 11:35:00
 -12.4240,  30.7530,AQUA_M,2015-08-26 11:35:00
 -12.4240,  30.6860,AQUA_M,2015-08-26 11:35:00
 -12.4230,  30.7620,AQUA_M,2015-08-26 11:35:00
 -12.3980,  31.0030,AQUA_M,2015-08-26 11:35:00
 -12.3960,  31.0120,AQUA_M,2015-08-26 11:35:00
 -12.2800,  30.8010,AQUA_M,2015-08-26 11:35:00
 -12.2630,  30.9870,AQUA_M,2015-08-26 11:35:00
 -12.2550,  30.9760,AQUA_M,2015-08-26 11:35:00
 -12.1990,  30.8490,AQUA_M,2015-08-26 11:35:00
 -12.1980,  30.8580,AQUA_M,2015-08-26 11:35:00
 -12.1680,  30.8720,AQUA_M,2015-08-26 11:35:00
 -12.1230,  31.0660,AQUA_M,2015-08-26 11:35:00
 -12.1140,  31.0650,AQUA_M,2015-08-26 11:35:00
 -12.0330,  30.9810,AQUA_M,2015-08-26 11:35:00
 -12.0260,  30.8390,AQUA_M,2015-08-26 11:35:00
 -12.0240,  30.8480,AQUA_M,2015-08-26 11:35:00
 -11.9680,  30.6650,AQUA_M,2015-08-26 11:35:00
 -11.9230,  31.0520,AQUA_M,2015-08-26 11:35:00
 -11.9140,  30.7230,AQUA_M,2015-08-26 11:35:00
 -11.7780,  30.7090,AQUA_M,2015-08-26 11:35:00
 -11.7660,  30.7920,AQUA_M,2015-08-26 11:35:00
 -11.7270,  30.6770,AQUA_M,2015-08-26 11:35:00
 -11.5120,  30.6990,AQUA_M,2015-08-26 11:35:00
 -10.9880,  30.9640,AQUA_M,2015-08-26 11:35:00
 -10.9860,  30.9730,AQUA_M,2015-08-26 11:35:00
 -10.9790,  30.9630,AQUA_M,2015-08-26 11:35:00
 -10.4770,  31.1250,AQUA_M,2015-08-26 11:35:00
 -10.4380,  30.8180,AQUA_M,2015-08-26 11:35:00
 -10.4100,  30.8170,AQUA_M,2015-08-26 11:35:00
 -10.3700,  30.7740,AQUA_M,2015-08-26 11:35:00
 -10.3720,  31.1440,AQUA_M,2015-08-26 11:35:00
 -10.3710,  30.7650,AQUA_M,2015-08-26 11:35:00
 -10.3550,  30.8830,AQUA_M,2015-08-26 11:35:00
 -10.3530,  30.8920,AQUA_M,2015-08-26 11:35:00
 -10.3520,  30.9010,AQUA_M,2015-08-26 11:35:00
 -10.3460,  30.8810,AQUA_M,2015-08-26 11:35:00
 -10.2940,  30.6650,AQUA_M,2015-08-26 11:35:00
 -10.2800,  30.7000,AQUA_M,2015-08-26 11:35:00
 -10.2790,  30.7090,AQUA_M,2015-08-26 11:35:00
